source,target,weight,layer
CASP7,TP53,0.74,DEG_T2D
CATSPERG,TMEM262,0.856,DEG_T2D
CCDC106,TP53,0.751,DEG_T2D
CCL11,CCL27,0.997,DEG_T2D
CCL11,CXCL13,0.767,DEG_T2D
CCL11,CCR2,0.998,DEG_T2D
CCL11,IL15,0.806,DEG_T2D
CCL11,CXCR6,0.752,DEG_T2D
CCL11,IL25,0.755,DEG_T2D
CCL11,IL10,0.843,DEG_T2D
CCL11,XCL1,0.995,DEG_T2D
CCL21,PDPN,0.843,DEG_T2D
CCL21,CCRL2,0.891,DEG_T2D
CCL21,CXCR6,0.894,DEG_T2D
CCL21,CCR2,0.944,DEG_T2D
CCL21,CCL27,0.946,DEG_T2D
CCL21,CXCL13,0.991,DEG_T2D
CCL21,XCL1,0.998,DEG_T2D
CCL27,CCRL2,0.804,DEG_T2D
CCL27,CXCR6,0.82,DEG_T2D
CCL27,CCL7,0.83,DEG_T2D
CCL27,CXCL13,0.913,DEG_T2D
CCL27,CCR2,0.966,DEG_T2D
CCL7,CCR2,0.999,DEG_T2D
CCL7,CCRL2,0.787,DEG_T2D
CCL7,IL10,0.803,DEG_T2D
CCL7,CXCR6,0.819,DEG_T2D
CCN1,ZWINT,0.78,DEG_T2D
CCNT1,CDK13,0.968,DEG_T2D
CCNT1,SSRP1,0.715,DEG_T2D
CCNT1,TTF2,0.725,DEG_T2D
CCNT1,MMS19,0.901,DEG_T2D
CCNT1,ELP4,0.906,DEG_T2D
CCNT1,ERCC2,0.907,DEG_T2D
CCNT1,ICE1,0.911,DEG_T2D
CCNT1,SUPT5H,0.99,DEG_T2D
CCR2,SCARB2,0.739,DEG_T2D
CCR2,CSF1R,0.778,DEG_T2D
CCR2,CXCL13,0.901,DEG_T2D
CCR2,JAK2,0.784,DEG_T2D
CCR2,FCGR1A,0.821,DEG_T2D
CCR2,CXCR6,0.828,DEG_T2D
CCR2,IL10,0.878,DEG_T2D
CCR2,XCL1,0.895,DEG_T2D
CCR2,CCRL2,0.972,DEG_T2D
CCRL2,KLRB1,0.881,DEG_T2D
CCRL2,CXCL13,0.883,DEG_T2D
CCRL2,IL10,0.781,DEG_T2D
CCT6A,EIF2S1,0.836,DEG_T2D
CCT6A,TP53,0.761,DEG_T2D
CCT6A,PSMD14,0.747,DEG_T2D
CCT6A,RUVBL1,0.751,DEG_T2D
CCT6A,HSPB8,0.762,DEG_T2D
CCT6A,STRN4,0.994,DEG_T2D
CCT6A,STRN3,0.994,DEG_T2D
CCZ1B,RABEP1,0.7,DEG_T2D
CD1A,CD2,0.736,DEG_T2D
CD2,KLRB1,0.918,DEG_T2D
CD2,CD28,0.985,DEG_T2D
CD2,SLAMF1,0.899,DEG_T2D
CD28,PIK3R3,0.906,DEG_T2D
CD28,IL15,0.842,DEG_T2D
CD28,IL10,0.922,DEG_T2D
CD28,TNFRSF9,0.93,DEG_T2D
CD28,CD70,0.979,DEG_T2D
CD70,TNFRSF9,0.986,DEG_T2D
CD93,GIPC1,0.798,DEG_T2D
CDADC1,FNDC3A,0.702,DEG_T2D
CDC25A,ORC2,0.794,DEG_T2D
CDC25A,TP53,0.861,DEG_T2D
CDCA8,KIF23,0.954,DEG_T2D
CDCA8,KIF18A,0.742,DEG_T2D
CDCA8,MAD2L1,0.935,DEG_T2D
CDCA8,TPX2,0.919,DEG_T2D
CDCA8,KNTC1,0.842,DEG_T2D
CDCA8,KNL1,0.757,DEG_T2D
CDCA8,ZWINT,0.78,DEG_T2D
CDK13,SUPT5H,0.924,DEG_T2D
CDYL,RCOR1,0.788,DEG_T2D
CDYL,EZH2,0.9,DEG_T2D
CDYL,EHMT1,0.912,DEG_T2D
